evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,nwThreshold,nwExponent,nwGmax,slimeMouldFun,logmsepop,logmsedist
1595,0.1342009352482652,0.03,6.3558841769412355,4.5389803842278305,6.660529605304416,7.112356903516889,0.2,1,42.21575434233073,20.996066949471246
1595,0.11405425817859467,0.006824574639206221,0.1,47.55503922033624,12.75695922098678,3.3366449031457677,0.16687071993256797,1,27.96130998741521,20.996098167784094
1595,0.13409136197830798,0.03,6.189206907104246,4.173806513563928,6.878928957523786,7.186810990738474,0.19407904525650707,1,42.0528478461644,20.996067137960146
1595,0.1644199885452845,1.904898782201802E-4,7.612011192744672,163.45059775603968,14.553842006675044,0.5034392635600231,0.009615371552722395,1,28.59178637679172,20.99607114417595
1595,0.184560670659196,5.0E-5,10.0,2.437749626740671,12.97349549504169,1.4440382339916162,0.1922130803305717,1,29.074223027344132,20.99606817775176
1595,0.13356029822988924,0.03,6.18330587619135,4.577102508042613,6.850724890387171,7.115469306884197,0.2,1,42.18546920714743,20.996067043069683
1595,8.929942714570983E-4,0.007123026355011979,0.1,44.267328883699335,0.1,7.309855811494351,0.030330080404316062,1,27.96222587078988,20.99607264571689
1595,0.11110814025303634,0.007338498122876481,0.1,38.72708293702191,4.1511802366089094,9.82196563183365,1.729495477334509E-7,0,27.96461344935067,20.996071299616872
1595,0.11143861883900706,0.007331309973166979,0.1,38.28591318195121,4.1083079239492175,9.993769888651956,0.0,0,27.96529875620678,20.996071299363805
1595,0.13356029822988927,0.03,6.183305876191351,4.577102508042613,6.850724890387172,7.115469306884197,0.2,1,42.18546920714743,20.996067043069683
